,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
815,69.0,9.0,24.0,12.0,18.0,24.0,26.0,27.0,14.0,18.0,18.0,25.0,25.0,22.0,22.0,16.0,18.0,20.0,21.0,15.0
816,67.0,10.0,24.0,15.0,19.0,23.0,21.0,28.0,14.0,16.0,14.0,24.0,24.0,23.0,23.0,19.0,21.0,20.0,20.0,18.0
817,66.0,17.0,23.0,13.0,18.0,24.0,20.0,28.0,12.0,17.0,14.0,24.0,21.0,26.0,20.0,20.0,19.0,22.0,18.0,16.0
818,67.0,15.0,21.0,13.0,18.0,24.0,17.0,29.0,12.0,19.0,17.0,22.0,19.0,27.0,21.0,22.0,19.0,22.0,22.0,21.0
819,64.0,16.0,23.0,11.0,18.0,24.0,18.0,27.0,13.0,21.0,20.0,17.0,18.0,24.0,21.0,21.0,16.0,20.0,21.0,21.0
820,62.0,17.0,25.0,16.0,18.0,24.0,19.0,26.0,12.0,21.0,19.0,17.0,19.0,26.0,17.0,21.0,15.0,22.0,21.0,23.0
821,66.0,20.0,22.0,18.0,17.0,29.0,20.0,22.0,13.0,22.0,15.0,17.0,19.0,24.0,17.0,21.0,17.0,26.0,24.0,21.0
822,66.0,19.0,24.0,19.0,20.0,26.0,18.0,25.0,14.0,21.0,16.0,18.0,21.0,19.0,22.0,19.0,18.0,26.0,25.0,20.0
823,64.0,16.0,26.0,19.0,19.0,26.0,19.0,22.0,14.0,19.0,19.0,17.0,17.0,20.0,21.0,19.0,19.0,23.0,23.0,19.0
824,67.0,17.0,23.0,21.0,19.0,24.0,17.0,23.0,15.0,18.0,18.0,16.0,15.0,24.0,20.0,20.0,17.0,28.0,23.0,20.0
825,68.0,16.0,23.0,19.0,20.0,28.0,17.0,27.0,15.0,17.0,15.0,16.0,20.0,23.0,21.0,21.0,17.0,26.0,21.0,17.0
826,67.0,13.0,20.0,18.0,19.0,28.0,16.0,28.0,17.0,16.0,16.0,15.0,21.0,23.0,21.0,20.0,18.0,27.0,23.0,17.0
827,67.0,15.0,24.0,16.0,16.0,28.0,17.0,27.0,20.0,16.0,20.0,13.0,23.0,24.0,21.0,19.0,14.0,27.0,24.0,17.0
828,66.0,15.0,28.0,20.0,17.0,30.0,17.0,30.0,20.0,17.0,23.0,13.0,19.0,26.0,18.0,19.0,10.0,24.0,19.0,17.0
829,68.0,15.0,25.0,20.0,17.0,21.0,18.0,26.0,22.0,16.0,23.0,9.0,22.0,21.0,19.0,21.0,12.0,23.0,23.0,15.0
830,63.0,20.0,24.0,21.0,18.0,20.0,20.0,24.0,20.0,14.0,19.0,11.0,18.0,23.0,23.0,22.0,13.0,25.0,19.0,17.0
831,65.0,19.0,25.0,23.0,20.0,20.0,18.0,24.0,20.0,14.0,20.0,14.0,16.0,23.0,22.0,20.0,15.0,27.0,20.0,14.0
832,67.0,24.0,25.0,25.0,22.0,19.0,18.0,26.0,21.0,14.0,20.0,13.0,16.0,20.0,21.0,19.0,17.0,25.0,21.0,15.0
833,62.0,24.0,25.0,24.0,24.0,23.0,19.0,27.0,19.0,13.0,18.0,12.0,16.0,20.0,24.0,18.0,21.0,19.0,19.0,15.0
834,64.0,21.0,26.0,23.0,24.0,24.0,18.0,28.0,25.0,14.0,22.0,14.0,15.0,19.0,22.0,19.0,19.0,19.0,18.0,16.0
835,59.0,24.0,24.0,22.0,22.0,24.0,15.0,27.0,22.0,16.0,20.0,14.0,14.0,17.0,18.0,20.0,19.0,19.0,18.0,16.0
836,61.0,25.0,24.0,24.0,21.0,21.0,15.0,30.0,19.0,16.0,23.0,19.0,14.0,20.0,16.0,21.0,19.0,20.0,21.0,16.0
